x_m,y_m,w_tr_left_m,w_tr_right_m
-1205.875305,-514.0781,5.416208,5.416208
-1207.178331,-519.9303,5.49788,5.49788
-1207.863537,-524.7394,5.336884,5.336884
-1207.88019,-530.5204,5.293454,5.293454
-1207.406612,-535.3579,5.454044,5.454044
-1206.165193,-541.0324,5.492005,5.492005
-1205.423053,-545.767,5.097866,5.097866
-1204.276638,-550.6086,5.06378,5.06378
-1202.999697,-555.3104,5.075825,5.075825
-1201.736542,-560.0159,5.073591,5.073591
-1200.482381,-564.7238,5.062045,5.062045
-1199.228909,-569.4318,5.049787,5.049787
-1197.982312,-574.1417,5.030434,5.030434
-1196.735715,-578.8515,5.011081,5.011081
-1195.498614,-583.5636,4.981955,4.981955
-1194.392785,-588.012,5.006282,5.006282
-1193.299145,-592.7563,5.11108,5.11108
-1192.490113,-596.6348,5.236258,5.236258
-1192.206221,-601.486,5.370381,5.370381
-1192.440006,-605.4292,5.536041,5.536041
-1193.09331,-609.1821,5.506994,5.506994
-1194.735171,-613.4444,5.577603,5.577603
-1196.419289,-616.7251,5.37409,5.37409
-1199.918241,-622.0867,5.528579,5.528579
-1201.538921,-623.9038,5.072118,5.072118
-1204.341731,-627.0351,5.635321,5.635321
-1208.073839,-630.1669,5.62434,5.62434
-1211.805948,-633.2988,5.613358,5.613358
-1215.534526,-636.4349,5.607888,5.607888
-1219.252866,-639.559,5.612886,5.612886
-1222.983264,-642.6929,5.618116,5.618116
-1226.713525,-645.8271,5.62356,5.62356
-1230.4423,-648.9629,5.6313,5.6313
-1234.171076,-652.0988,5.63904,5.63904
-1237.899851,-655.2346,5.646781,5.646781
-1241.638478,-658.3586,5.639087,5.639087
-1245.399264,-661.487,5.61595,5.61595
-1249.140688,-664.6073,5.58646,5.58646
-1252.882113,-667.7277,5.556971,5.556971
-1256.623537,-670.8481,5.527481,5.527481
-1260.421708,-673.8869,5.399105,5.399105
-1264.259452,-676.869,5.201772,5.201772
-1268.137297,-679.7653,4.913056,4.913056
-1271.88222,-682.8795,4.876392,4.876392
-1275.605311,-686.0221,4.871019,4.871019
-1279.328402,-689.1648,4.865647,4.865647
-1283.051493,-692.3074,4.860274,4.860274
-1286.784193,-695.4384,4.839829,4.839829
-1290.517436,-698.5687,4.818531,4.818531
